days,go-commits,go-authors,rust-commits,rust-authors,swift-commits,swift-authors
1088,7550,161,17370,242,5055,18
1089,7563,161,17380,242,5085,18
1090,7577,161,17419,244,5126,19
1091,7579,161,17460,245,5157,19
1092,7580,161,17482,246,5169,19
1093,7587,162,17520,246,5169,19
1094,7594,162,17553,246,5189,19
1095,7607,162,17588,248,5222,20
1096,7621,162,17611,250,5246,20
1097,7632,162,17643,250,5266,20
1098,7643,163,17663,251,5296,21
1099,7655,163,17692,252,5312,21
1100,7685,164,17740,252,5327,21
1101,7703,164,17776,254,5368,21
1102,7717,164,17787,255,5414,21
1103,7730,164,17809,256,5454,22
1104,7747,164,17839,258,5503,22
1105,7750,164,17881,259,5537,23
1106,7750,164,17910,259,5549,23
1107,7754,164,17940,260,5551,23
1108,7771,164,17974,262,5588,23
1109,7787,164,18002,262,5626,23
1110,7803,164,18025,262,5643,23
1111,7811,164,18050,263,5674,23
1112,7811,164,18078,263,5717,23
1113,7812,164,18098,263,5729,23
1114,7821,164,18109,265,5729,23
1115,7831,164,18121,267,5762,23
1116,7850,164,18145,268,5797,23
1117,7855,165,18160,270,5845,24
1118,7878,166,18190,270,5875,24
1119,7881,166,18219,270,5914,24
1120,7887,167,18269,273,5933,24
1121,7901,167,18303,274,5935,24
1122,7927,168,18333,274,5973,24
1123,7938,168,18348,274,5997,24
1124,7943,168,18360,276,6020,24
1125,7951,168,18380,276,6046,24
1126,7954,168,18406,277,6072,24
1127,7956,168,18461,277,6079,24
1128,7974,169,18485,277,6084,24
1129,7989,170,18510,278,6108,24
1130,8002,170,18521,279,6148,24
1131,8015,171,18538,280,6191,25
1132,8034,171,18576,282,6238,25
1133,8035,171,18612,284,6287,25
1134,8036,171,18630,284,6297,25
1135,8044,172,18649,284,6300,25
1136,8053,173,18672,284,6345,26
1137,8078,173,18688,284,6378,26
1138,8107,174,18703,286,6421,26
1139,8127,174,18727,286,6470,26
1140,8128,174,18763,287,6515,26
1141,8131,174,18796,287,6524,26
1142,8143,174,18825,287,6524,26
1143,8150,174,18852,288,6527,26
1144,8164,175,18886,288,6560,26
1145,8182,176,18908,289,6595,26
1146,8196,177,18953,289,6629,27
1147,8203,177,18983,289,6680,27
1148,8204,177,19010,292,6688,27
1149,8220,177,19048,293,6689,27
1150,8232,177,19082,294,6718,27
1151,8248,177,19099,294,6739,28
1152,8263,177,19126,294,6774,28
1153,8269,177,19153,295,6816,28
1154,8271,177,19194,296,6870,28
1155,8273,177,19220,296,6889,28
1156,8297,177,19245,296,6897,28
1157,8308,177,19265,296,6932,28
1158,8316,177,19294,298,6985,28
1159,8320,177,19318,299,7038,28
1160,8326,177,19354,299,7067,28
1161,8329,177,19378,300,7119,28
1162,8334,177,19406,300,7129,28
1163,8338,177,19440,301,7131,28
1164,8342,177,19456,301,7148,28
1165,8357,177,19465,303,7180,28
1166,8370,178,19479,303,7240,29
1167,8388,179,19505,303,7265,29
1168,8394,179,19524,304,7298,29
1169,8396,179,19548,305,7304,29
1170,8413,180,19578,307,7319,29
1171,8422,180,19608,311,7346,29
1172,8436,181,19619,312,7369,29
1173,8440,181,19632,313,7403,29
1174,8448,182,19650,313,7432,29
1175,8450,182,19669,313,7464,29
1176,8458,182,19690,313,7469,29
1177,8465,182,19726,313,7473,29
1178,8475,182,19741,313,7519,29
1179,8494,182,19749,313,7542,29
1180,8507,183,19761,314,7611,30
1181,8521,183,19788,314,7673,30
1182,8523,183,19808,314,7723,30
1183,8528,183,19841,314,7744,30
1184,8540,183,19862,314,7774,31
1185,8559,183,19879,314,7807,31
1186,8578,183,19898,314,7849,31
1187,8594,183,19921,314,7881,31
1188,8612,183,19962,315,7908,31
1189,8615,183,19989,316,7933,31
1190,8616,183,20011,317,7943,31
1191,8633,185,20030,319,7957,31
1192,8649,187,20046,320,7994,31
1193,8659,187,20062,323,8024,31
1194,8673,188,20071,324,8048,32
1195,8688,188,20087,327,8078,33
1196,8692,188,20117,329,8098,33
1197,8693,188,20148,330,8106,34
1198,8703,188,20189,330,8115,34
1199,8722,188,20214,330,8154,34
1200,8734,188,20221,330,8176,34
1201,8753,189,20236,332,8225,34
1202,8768,189,20266,332,8253,34
1203,8770,189,20291,332,8276,34
1204,8778,189,20321,333,8283,34
1205,8801,190,20336,333,8299,34
1206,8811,190,20345,335,8331,34
1207,8821,191,20364,336,8361,34
1208,8831,191,20376,336,8390,34
1209,8844,191,20396,336,8408,34
1210,8844,191,20406,337,8429,35
1211,8846,191,20422,337,8442,35
1212,8869,191,20434,339,8445,35
1213,8885,191,20445,339,8460,35
1214,8901,192,20455,339,8492,35
1215,8916,192,20458,340,8537,35
1216,8924,193,20471,340,8562,35
1217,8927,193,20480,341,8583,35
1218,8927,193,20498,342,8592,35
1219,8933,193,20511,343,8601,35
1220,8940,193,20528,344,8615,35
1221,8956,193,20535,347,8630,35
1222,8968,194,20550,349,8659,35
1223,8979,194,20570,352,8685,35
1224,8987,195,20594,353,8707,35
1225,8991,195,20603,353,8711,35
1226,9009,195,20611,354,8713,35
1227,9035,195,20628,355,8713,35
1228,9060,197,20633,355,8714,35
1229,9079,197,20640,355,8714,35
1230,9087,197,20651,356,8717,35
1231,9087,197,20681,357,8722,35
1232,9091,197,20695,358,8730,35
1233,9117,197,20710,360,8747,35
1234,9130,197,20733,362,8764,35
1235,9145,199,20737,363,8790,35
1236,9164,199,20745,363,8840,35
1237,9182,199,20759,365,8893,35
1238,9187,199,20776,366,8945,35
1239,9191,199,20788,366,8975,35
